start_time,end_time,name,car_id,car_name,shots,shots_against,goals,goals_against,saves,assists,score,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,mvp
0,327.41983,TOZZ,23,Octane,2,5,1,0,1,0,256,2879,2694,3096,3791,128.16,102.46,89.38,183.99,136.02,221.27,98.74,84.7,125.7,0.0,96.7,102.8,40.05,27.93125,32.01875,57.495075,42.50492,69.144714,30.855286,26.600086,39.476162,30.368694,32.284405,False
0,337.60483,gadksadsas,23,Octane,2,13,1,6,3,0,386,3014,3217,2853,3471,220.26,76.03,33.72,261.57,68.44,243.58,86.43,122.3,97.4,1.0,95.3,111.0,66.74343,10.217872,23.038694,79.26123,20.738766,73.80988,26.190115,39.37794,31.360682,30.684526,35.739586,False
0,218.873,[huiTre] tMd^,1568,Octane ZSR,3,3,2,1,0,2,460,3355,3291,3357,3853,101.42,72.51,43.06,144.63,72.37,172.78,44.21,95.6,111.1,0.0,85.1,121.6,46.739483,19.844233,33.416286,66.64977,33.35023,79.62579,20.374212,47.59771,55.31491,42.369926,60.54269,False
0,338.74,Moinsen,1856,Jäger 619,3,5,2,0,2,0,750,2255,2190,2342,3759,136.19,108.54,90.66,190.6,144.68,260.54,74.85,162.3,171.3,0.0,196.5,137.3,40.606457,27.031216,32.362324,56.848007,43.15199,77.68269,22.3173,49.683163,52.43824,60.152447,42.03018,True
0,366.94836,ZeezyPlayzz,23,Octane,2,11,4,3,1,0,619,2885,2803,2963,3740,231.5,90.72,38.18,281.64,78.76,256.74,103.65,129.2,119.0,1.0,102.1,138.5,64.234184,10.593785,25.172031,78.14651,21.853495,71.239494,28.760511,37.353996,34.404995,29.518908,40.04279,True
0,325.88165,catdog0155,23,Octane,4,4,1,0,2,1,472,2917,2691,3153,3666,139.36,90.08,96.27,185.41,140.31,234.85,90.87,110.6,118.2,0.0,111.5,117.4,42.786526,29.556967,27.656502,56.923122,43.076874,72.10181,27.898195,34.908314,37.307076,35.192375,37.054573,True
0,339.44305,XAlmighty_Push_X,23,Octane,4,4,3,0,0,0,539,2681,2628,2705,3351,204.8,77.12,56.85,248.34,90.43,253.97,84.8,111.5,103.3,0.0,114.9,97.8,60.454,16.781298,22.76471,73.30637,26.693628,74.96826,25.03173,34.05204,31.547764,35.090397,29.868067,True
0,340.02,Can't Fly,403,Dominus,4,4,1,1,1,0,650,2538,2514,2499,2936,147.35,113.07,79.24,202.11,137.55,266.46,73.19,207.2,126.1,1.0,149.9,183.4,43.38162,23.329212,33.28917,59.50362,40.49638,78.45135,21.548653,63.17266,38.446297,45.70261,55.91634,True
0,295.18274,Can't Fly,403,Dominus,3,4,4,2,1,0,880,2984,2859,3057,3737,132.65,88.62,73.14,168.5,125.9,248.56,45.84,149.5,128.0,1.0,129.2,148.1,45.05621,24.842905,30.10088,57.235054,42.764946,84.42935,15.570653,54.51628,46.676147,47.113735,54.005764,True
0,379.13818,NGU_IC3,9053,,2,11,2,4,4,1,738,2402,2340,2441,3462,217.49,100.01,57.78,273.59,101.68,275.11,100.16,172.5,181.5,2.0,199.1,154.9,57.954056,15.3965025,26.649433,72.90485,27.09516,73.30988,26.690117,48.57239,51.106606,56.062397,43.616596,False
0,352.61072,Dsife,23,Octane,3,8,0,2,2,3,371,3036,2768,3272,3838,156.94,110.96,78.16,202.42,143.64,255.6,90.46,122.5,107.1,0.0,98.1,131.0,45.350517,22.58568,32.063805,58.49275,41.50725,73.86002,26.139977,36.617443,32.014107,29.323847,39.158245,False
0,368.10922,doyousmelldooky,1624,Endo,2,6,1,2,0,0,286,2677,2424,2815,3511,181.88,113.57,69.23,240.86,123.82,253.5,111.18,105.5,118.1,1.0,129.5,101.4,49.87386,18.983767,31.14237,66.04694,33.953056,69.513,30.487003,30.140274,33.739964,36.99683,28.968946,False
0,358.09537,adrigalos,23,Octane,3,7,1,2,2,0,372,2632,2599,2654,3736,167.79,95.86,90.96,217.38,137.24,261.99,92.63,109.2,103.7,1.0,134.0,96.5,47.316772,25.650717,27.032516,61.29942,38.700584,73.87908,26.120918,32.110092,30.492826,39.402496,28.375677,False
0,362.18744,Viserion,23,Octane,1,3,0,0,2,2,296,3111,3003,3305,3847,137.51,142.37,81.32,210.65,150.55,274.89,86.31,110.7,106.1,0.0,116.4,117.8,38.07032,22.513844,39.415836,58.31949,41.680508,76.10465,23.895348,32.45002,31.101599,34.120888,34.531277,False
0,388.52148,WHATASAVE,23,Octane,2,8,2,4,0,0,314,3221,3406,3060,3725,233.78,99.26,48.03,294.95,86.12,301.09,79.98,142.6,105.0,1.0,114.4,117.0,61.34831,12.603983,26.047707,77.40048,22.599522,79.01173,20.98827,39.78462,29.294424,31.916971,32.642357,False
0,490.60123,Supsto,23,Octane,3,11,2,1,3,0,664,2692,2166,3202,3783,229.31,130.8,115.02,296.4,178.73,327.9,147.23,161.6,161.4,0.0,185.7,131.0,48.26258,24.20811,27.529308,62.382927,37.617073,69.01269,30.987309,33.761623,33.719837,38.796616,27.36864,True
0,370.843,KingYashy,2269,'99 Nissan Skyline GT-R R34,4,6,3,3,1,0,740,3099,2925,3059,3629,226.08,96.0,47.77,277.57,92.27,272.64,97.2,178.1,169.7,2.0,142.9,204.9,61.127483,12.916047,25.956469,75.05138,24.948627,73.71836,26.281633,52.265522,49.800446,41.93567,60.130295,False
0,335.72604,gyat,4284,Fennec,2,10,0,2,3,0,348,2787,3091,2513,3388,193.29,69.71,69.31,232.51,99.8,244.41,87.9,143.3,84.4,1.0,107.6,109.3,58.165573,20.857033,20.977404,69.967804,30.0322,73.5488,26.451206,44.270752,26.07433,33.24168,33.766876,False
0,379.5088,Chim,4770,Dominus,0,10,0,5,0,2,246,3551,3194,3864,3883,230.15,101.28,45.98,285.45,91.96,257.4,120.01,124.1,134.9,2.0,123.1,122.0,60.981426,12.183037,26.835537,75.633934,24.366074,68.20169,31.79831,35.212666,38.277103,34.928925,34.616802,False
0,327.41983,Atrophy,1568,Octane ZSR,0,5,0,0,3,0,342,2884,2863,2918,3800,157.51,100.17,66.53,200.68,123.53,250.33,73.88,105.4,102.8,0.0,109.1,107.9,48.582706,20.52065,30.896643,61.898155,38.10185,77.2123,22.787699,33.100933,32.284405,34.26292,33.886063,True
0,377.93643,Armo27,23,Octane,2,14,1,7,0,1,262,3292,2955,3501,3812,205.24,93.18,75.42,252.86,120.98,270.02,103.82,118.0,109.7,2.0,97.2,126.5,54.900494,20.174406,24.925102,67.638565,32.36144,72.22876,27.77124,34.523113,32.094795,28.437683,37.00995,False
0,321.07336,[huiTre] tMd^,1568,Octane ZSR,1,3,1,1,0,0,270,2804,2828,2817,3556,152.93,91.15,73.23,203.9,113.41,232.7,84.61,170.8,146.3,1.0,140.9,176.2,48.195766,23.078379,28.725851,64.25893,35.741074,73.33523,26.664776,55.255413,47.329433,45.582478,57.002365,False
0,257.2364,Kova,23,Octane,0,2,0,1,0,0,50,2894,2823,2941,3555,120.87,63.64,72.28,152.69,104.09,179.71,77.07,140.5,118.4,1.0,102.8,155.9,47.069595,28.147516,24.782898,59.463356,40.536648,69.98598,30.014019,57.997936,48.87513,42.4355,64.355,False
0,326.9482,Jarektmnx,23,Octane,3,6,0,2,2,0,300,2520,2362,2613,3459,139.61,103.67,80.35,190.14,133.5,226.88,96.76,182.9,140.4,0.0,149.6,173.7,43.138767,24.827736,32.033493,58.75046,41.249535,70.10258,29.897415,57.53562,44.166218,47.060307,54.64154,False
0,445.029,Dusted7025,403,Dominus,5,7,1,3,4,1,654,3073,3050,3089,3812,226.63,148.62,65.49,309.31,131.42,357.52,83.22,187.9,105.8,1.0,158.6,115.4,51.42034,14.859101,33.720562,70.18129,29.81871,81.11812,18.881882,44.00159,24.775778,37.14025,27.023863,False
0,313.813,Can't Fly,403,Dominus,5,4,3,1,0,1,840,2456,2130,2739,3707,116.13,102.27,94.87,156.31,156.85,224.75,88.53,126.5,171.6,1.0,169.0,129.2,37.07026,30.283781,32.64596,49.91378,50.08622,71.74094,28.259066,42.336014,57.42972,56.559574,43.239628,True
0,450.6133,Metaellihead,5361,,2,9,1,2,2,0,348,3009,3006,2970,3735,219.5,130.48,100.07,289.65,160.4,340.6,109.45,133.1,134.9,0.0,156.1,119.0,48.77236,22.235308,28.992334,64.35952,35.640484,75.68048,24.31952,30.771011,31.187145,36.088318,27.51127,False
0,377.52408,Armo27,23,Octane,2,14,1,7,0,1,262,3292,2968,3496,3818,204.91,93.06,75.44,252.3,121.11,269.65,103.76,118.3,112.5,2.0,97.2,126.2,54.875336,20.202993,24.921667,67.56648,32.433517,72.212845,27.787151,34.644333,32.945793,28.465166,36.95786,False
0,389.64664,BioWeapon1001,23,Octane,3,4,0,3,0,3,345,3521,3453,3607,3955,199.81,106.0,76.61,252.97,129.45,307.31,75.11,133.5,102.9,1.0,101.4,143.4,52.24884,20.03295,27.718216,66.14979,33.85022,80.35929,19.64071,37.130775,28.619902,28.202703,39.884293,False
0,344.432,Can't Fly,403,Dominus,4,5,1,3,1,0,430,2342,2208,2468,3569,137.71,121.66,81.46,190.61,150.11,241.13,99.71,178.4,167.9,3.0,213.1,133.2,40.40431,23.900476,35.695213,55.943295,44.0567,70.745804,29.254196,54.149216,50.96218,64.6816,40.429794,False
0,412.01,LOWKEYloki,4284,Fennec,0,7,0,4,0,2,300,3028,3086,2947,3265,227.87,110.12,66.97,283.97,120.99,320.19,84.77,151.8,98.7,2.0,119.1,119.0,56.269756,16.537436,27.19281,70.12298,29.877026,79.06707,20.932932,38.827503,25.24555,30.463474,30.437897,False
0,368.09277,pandy,23,Octane,3,11,0,2,2,1,262,2535,2394,2573,3605,213.49,98.73,48.08,268.7,91.6,230.58,129.72,117.3,116.1,1.0,134.2,107.8,59.253395,13.344435,27.402163,74.576744,25.423258,63.99667,36.00333,32.94759,32.610527,37.69451,30.2792,False
0,315.45636,Zw9,4284,Fennec,4,7,3,2,2,1,656,2846,2456,3082,3887,154.27,95.3,62.44,211.85,100.16,228.84,83.17,100.2,95.6,1.0,95.5,93.0,49.443928,20.012178,30.543892,67.89846,32.101536,73.3438,26.656197,34.027237,32.465107,32.43115,31.582165,True
0,203.17749,Pharaoh,8807,,3,2,3,0,0,0,423,3457,3689,3311,4133,79.0,65.79,54.93,107.83,91.89,165.83,33.89,68.3,51.2,0.0,53.6,71.1,39.555378,27.503504,32.941116,53.990585,46.009415,83.03124,16.968756,35.74045,26.792255,28.048141,37.20565,True
0,380.6853,Bwin,4780,Battle Bus,2,6,1,4,2,1,369,2983,3000,3001,3482,176.65,120.79,73.85,245.78,125.52,290.12,81.17,128.2,109.1,2.0,120.5,123.2,47.577366,19.890112,32.53252,66.19445,33.80555,78.13839,21.861618,35.950645,30.594503,33.791363,34.54851,False
0,383.26633,kaebun,23,Octane,1,12,0,3,1,1,220,3050,3069,3068,3634,200.59,124.28,54.74,269.4,110.22,270.32,109.29,127.3,127.4,1.0,109.6,144.3,52.841076,14.420063,32.738865,70.965706,29.034298,71.20992,28.790073,34.86334,34.890724,30.015882,39.51909,False
0,372.61,[huiTre] tMd^,1568,Octane ZSR,1,13,0,3,6,0,630,2603,2578,2619,3478,212.83,97.23,61.78,259.25,112.48,266.3,105.54,205.4,156.8,2.0,172.6,189.6,57.236984,16.614674,26.148344,69.74148,30.25852,71.61682,28.383175,57.917885,44.21385,48.66907,53.462666,False
0,203.17749,DocSwag,4284,Fennec,0,2,1,0,0,0,190,2918,2401,3166,3891,82.26,71.96,45.69,124.39,75.51,168.57,31.33,75.6,61.6,0.0,73.1,58.7,41.148518,22.855284,35.996197,62.226116,37.773888,84.327156,15.672835,39.56044,32.234432,38.252224,30.716902,False
0,293.947,Hou je Haags,23,Octane,1,8,0,1,4,1,470,2483,2553,2328,3135,152.57,88.93,52.17,209.34,84.33,208.61,85.06,134.6,152.7,1.0,141.7,145.6,51.952873,17.764837,30.282288,71.284096,28.715908,71.03552,28.964485,47.738964,54.158535,50.257137,51.64036,False
0,400.727,Oli_Verkahn,23,Octane,2,11,1,5,2,1,610,2631,2286,2925,3399,199.68,109.26,87.68,272.26,124.28,268.3,128.31,194.2,190.0,2.0,201.2,183.1,50.34542,22.106802,27.54778,68.6589,31.3411,67.648315,32.35168,52.395855,51.26268,54.284477,49.401035,False
0,333.398,Doi 2000,4284,Fennec,3,5,0,1,0,0,198,2782,2525,3058,3912,144.17,98.64,87.08,195.88,133.95,247.71,82.19,121.2,114.9,0.0,129.3,101.8,43.702446,26.396677,29.900875,59.38817,40.611828,75.08639,24.913609,37.71706,35.75652,40.237755,31.67984,False
0,356.49182,XyloDrum,2269,'99 Nissan Skyline GT-R R34,2,6,1,2,3,1,630,2777,2852,2640,3513,183.01,79.11,86.59,224.48,124.22,255.36,93.34,178.6,170.8,1.0,166.3,182.7,52.48201,24.831524,22.686476,64.37625,35.623745,73.232,26.767994,52.769978,50.465355,49.135765,53.981384,False
0,368.94604,Nothingippo,23,Octane,4,8,3,3,1,0,481,2825,2816,2792,3430,158.18,101.13,104.99,209.18,155.12,243.89,120.42,100.2,127.8,2.0,86.2,124.8,43.420258,28.819654,27.760088,57.419712,42.58029,66.94573,33.054268,29.051899,37.05422,24.992752,36.184402,False
0,544.6697,ChimbaCammy,4284,Fennec,6,14,1,6,3,0,521,2640,2635,2663,3440,233.8,155.45,147.78,311.07,225.96,386.51,150.52,191.5,174.8,3.0,184.6,174.7,43.53574,27.518015,28.94624,57.924133,42.07586,71.97176,28.028229,37.6546,34.370884,36.297855,34.35122,False
0,368.1534,pandy,23,Octane,3,11,0,2,2,1,262,2534,2396,2566,3608,213.37,98.85,48.15,268.45,91.92,230.38,129.98,118.0,118.2,1.0,135.4,109.3,59.20859,13.361268,27.430141,74.49289,25.507118,63.930515,36.06949,33.133038,33.189194,38.018753,30.690176,False
0,402.9959,Can't Fly,403,Dominus,6,3,4,3,0,1,1130,2609,2432,2810,3618,205.91,108.52,87.55,264.15,137.83,313.65,88.33,185.6,195.9,2.0,209.9,171.4,51.22394,21.77969,26.996367,65.71223,34.287777,78.026276,21.973732,49.772057,52.53419,56.28855,45.964066,True
0,221.93332,Synth,2269,'99 Nissan Skyline GT-R R34,1,1,0,0,0,1,196,2701,2469,2861,3444,69.23,80.35,71.93,115.37,106.14,160.62,60.89,61.5,54.2,0.0,67.9,56.2,31.25367,32.472572,36.273754,52.083424,47.91657,72.5114,27.488602,29.291292,25.81444,32.339493,26.767002,False
0,379.5088,Metaellihead,23,Octane,2,10,2,5,0,0,336,2980,2924,3032,3574,227.53,101.98,41.21,296.98,73.73,264.7,106.02,124.6,111.1,2.0,124.3,102.8,61.37516,11.116206,27.508633,80.11114,19.888863,71.4016,28.598404,35.354538,31.52399,35.269417,29.168913,False
0,353.89926,Yozora Yuno,4284,Fennec,2,7,1,3,0,0,254,2946,2893,2946,3806,170.13,104.06,70.92,216.57,128.54,252.65,92.46,108.8,108.1,1.0,105.4,111.2,49.29733,20.54997,30.152706,62.753906,37.246094,73.20854,26.791458,32.98769,32.77545,31.956823,33.71536,False
0,407.284,Can't Fly,403,Dominus,7,11,6,4,2,0,1390,2546,2198,2826,3047,209.44,115.55,80.96,264.79,141.16,300.54,105.41,175.8,224.4,4.0,209.4,190.5,51.59256,19.943342,28.464096,65.22724,34.772755,74.033745,25.966251,47.35736,60.44933,56.4086,51.31728,True
0,388.52148,YamahaGriz,23,Octane,3,8,1,4,1,3,413,3425,3418,3425,3823,217.68,106.68,60.38,279.38,105.36,284.17,100.57,116.6,111.9,1.0,111.4,122.7,56.57847,15.693716,27.727818,72.61527,27.384727,73.86027,26.139729,32.530758,31.219486,31.079988,34.232628,False
0,588.68097,Iamyou,23,Octane,3,12,0,5,0,0,232,2790,2574,3037,3575,244.71,167.84,165.21,336.35,241.42,402.92,174.85,194.0,209.2,2.0,199.0,178.5,42.354958,28.594917,29.050123,58.215206,41.78479,69.73709,30.262907,34.719734,37.440044,35.614574,31.945736,False
0,315.94885,Jnxty,23,Octane,1,9,0,4,1,0,124,3140,3362,2939,3755,136.55,104.48,74.08,191.39,123.71,217.97,97.13,107.5,93.5,1.0,69.0,112.3,43.334072,23.509249,33.156673,60.739445,39.26055,69.174866,30.825134,35.713097,31.06209,22.922825,37.307728,False
0,220.617,[huiTre] tMd^,1568,Octane ZSR,0,4,0,4,0,0,110,2683,2556,2714,3759,112.89,58.57,46.94,151.46,66.93,142.58,75.81,103.4,104.3,1.0,108.9,99.0,51.689564,21.492674,26.817766,69.35299,30.647005,65.28687,34.713127,49.56855,50.0,52.205177,47.45925,False
0,404.6878,DangerousElit3,403,Dominus,2,11,1,2,2,1,433,3484,3778,3210,4068,231.35,124.14,42.8,308.36,89.93,267.21,131.07,160.9,118.0,1.0,107.1,160.0,58.08582,10.745939,31.168245,77.420975,22.579027,67.09099,32.90901,41.61386,30.518557,27.69947,41.381096,False
0,342.5558,bombardant,1018,Dominus GT,2,2,0,2,0,0,144,3137,3041,3326,3806,130.87,107.92,100.23,180.61,158.41,234.17,104.85,115.6,104.2,2.0,92.8,120.0,38.60244,29.564627,31.832928,53.27414,46.725853,69.072624,30.92738,34.977306,31.527988,28.078669,36.308624,False
0,383.1762,Ziaros,23,Octane,2,12,0,3,4,1,490,2648,2592,2700,3568,221.99,96.44,56.42,274.43,100.42,283.87,90.98,142.6,84.7,1.0,130.8,105.7,59.22102,15.051353,25.727625,73.210625,26.789385,75.72896,24.271042,39.054585,23.197218,35.822857,28.948593,False
0,368.1534,R E D,23,Octane,1,11,0,2,3,0,359,2845,2542,3052,3651,209.56,105.77,49.47,262.85,101.94,246.65,118.14,120.8,119.7,0.0,104.1,117.3,57.44518,13.560856,28.99397,72.05515,27.944845,67.61425,32.385757,33.919243,33.61038,29.230078,32.936485,False
0,371.189,Can't Fly,403,Dominus,6,7,2,3,1,0,820,2567,2251,2919,3895,172.43,92.94,104.99,214.02,156.35,281.04,89.32,173.8,191.2,2.0,213.0,152.4,46.557404,28.348095,25.094503,57.785458,42.214546,75.88292,24.117075,50.06914,55.081818,61.362064,43.90412,True
0,370.58313,blitzcloud,23,Octane,2,6,1,3,1,0,240,2854,2830,2932,3101,180.33,127.61,61.83,254.21,115.55,265.16,104.6,211.2,137.6,2.0,138.2,211.3,48.76815,16.721205,34.51064,68.75,31.25,71.71138,28.288618,60.940067,39.70338,39.876503,60.96892,False
0,218.873,Can't Fly,403,Dominus,3,3,3,1,1,2,890,2740,2763,2702,3853,110.39,63.29,44.59,140.07,78.19,178.68,39.58,111.2,101.0,1.0,126.8,85.4,50.574978,20.428827,28.996199,64.17576,35.824245,81.86567,18.134336,55.364697,50.28628,63.131687,42.51929,True
0,140.74597,Matrix,4284,Fennec,2,0,0,0,0,2,160,3087,2849,3331,3693,55.69,41.16,43.54,82.19,58.21,114.48,25.92,46.6,34.9,0.0,46.8,40.6,39.668068,31.013605,29.318327,58.53989,41.460117,81.53846,18.461536,36.194176,27.106798,36.349514,31.53398,False
0,386.92154,Cootie Queen,4284,Fennec,3,11,1,5,2,2,486,2908,2675,3107,3658,211.28,107.42,67.44,266.78,119.35,288.05,98.08,129.9,120.5,2.0,124.7,121.7,54.715904,17.465168,27.818924,69.09072,30.909279,74.59922,25.400772,36.092354,33.48059,34.64755,33.81401,False
0,361.873,[huiTre] tMd^,1568,Octane ZSR,1,8,0,5,0,0,270,3082,2956,3192,3682,190.75,114.43,52.78,248.6,109.36,237.11,120.85,189.2,170.8,1.0,153.6,206.3,53.28808,14.744664,31.96726,69.4491,30.550898,66.23924,33.760757,55.514805,50.115902,45.069103,60.53226,False
0,382.20078,TreeWithTalent,4284,Fennec,2,8,1,6,1,1,379,2924,2936,2882,3499,190.66,124.41,62.82,261.81,116.08,276.79,101.1,123.8,123.0,3.0,118.2,119.8,50.453835,16.623884,32.92228,69.28207,30.717932,73.24618,26.753817,35.145493,34.91838,33.555714,34.009937,False
0,345.90698,Stew,23,Octane,4,9,2,2,3,1,597,2878,2535,3305,3479,157.98,95.4,92.08,205.46,140.0,244.03,101.43,78.8,123.9,1.0,103.4,95.2,45.73033,26.654316,27.615355,59.47432,40.525673,70.63915,29.360853,24.02952,37.782455,31.53112,29.030586,True
0,434.556,Polux,1856,Jäger 619,2,9,1,3,2,1,470,2237,2009,2292,3068,262.33,105.68,64.41,320.89,111.52,310.31,122.1,211.9,202.1,2.0,232.9,181.1,60.665554,14.895243,24.439203,74.20966,25.790339,71.76291,28.23709,51.625008,49.237442,56.74122,44.12123,False
0,149.12271,IggyWiggy,23,Octane,0,1,0,0,0,2,176,3296,3264,3180,3680,79.57,28.26,41.03,95.09,53.77,120.97,27.88,53.2,44.6,0.0,43.1,60.7,53.452908,27.56281,18.98428,63.87881,36.12119,81.26973,18.730265,37.9783,31.83895,30.768131,43.332382,False
0,377.52408,Furry Wizard,403,Dominus,5,14,4,7,3,1,861,2241,2124,2322,3367,175.28,122.69,73.78,242.47,129.28,241.06,130.69,74.1,125.7,2.0,158.8,61.1,47.149967,19.846672,33.00336,65.22394,34.77606,64.84465,35.155346,21.700296,36.81143,46.504818,17.893227,False
0,330.357,Elias,1675,Ice Charger,2,12,0,5,1,1,350,2503,2563,2511,3381,195.46,85.21,46.08,247.73,79.01,240.18,86.56,166.4,159.6,1.0,183.5,143.4,59.819435,14.102525,26.078041,75.818695,24.181307,73.50799,26.492012,53.779774,51.582047,59.30642,46.346268,False
0,388.97,Jallex,22,Breakout,3,8,3,4,1,0,590,2303,2238,2339,2863,204.99,110.25,71.45,265.51,121.09,285.33,101.35,149.4,231.2,3.0,214.3,166.3,53.011456,18.477331,28.51121,68.67822,31.32178,73.789696,26.210304,41.608643,64.39035,59.68362,46.31538,False
0,409.191,Can't Fly,403,Dominus,4,5,3,5,0,1,730,3063,2889,3198,3726,210.9,109.99,80.67,270.91,130.54,302.31,99.25,196.5,201.1,3.0,187.9,209.7,52.520172,20.089153,27.390676,67.48287,32.51712,75.28389,24.716106,51.82372,53.036896,49.555607,55.305008,False
0,373.25055,Jay-510,4284,Fennec,1,6,0,2,1,2,210,2699,2863,2582,3118,203.82,88.46,80.49,242.62,130.14,297.25,75.51,113.7,106.0,1.0,123.7,101.1,54.677147,21.592403,23.730452,65.087456,34.912544,79.743,20.257002,32.563866,30.358574,35.427883,28.955206,False
0,216.791,[huiTre] tMd^,1568,Octane ZSR,2,4,1,0,1,1,360,2791,2400,3181,3636,94.93,75.32,46.09,138.55,77.79,148.1,68.23,100.9,109.3,0.0,97.0,113.3,43.880005,21.304428,34.815567,64.04271,35.95729,68.46022,31.539778,49.265175,53.366535,47.36097,55.319565,False
0,330.357,Indici,403,Dominus,2,12,2,5,4,0,730,2878,2659,3101,3381,183.66,76.4,66.56,220.83,105.8,230.59,96.04,168.2,158.7,4.0,134.8,191.3,56.230484,20.378422,23.391096,67.608604,32.39139,70.596695,29.4033,54.361526,51.29117,43.566788,61.827347,False
0,272.3191,Rustled Jimmies,23,Octane,2,1,2,0,1,0,370,2994,2954,3034,3912,83.0,104.9,84.1,131.1,140.9,192.82,79.18,69.2,112.0,0.0,99.8,85.4,30.514706,30.919117,38.566177,48.198532,51.801468,70.88971,29.110294,26.27582,42.52734,37.894897,32.427097,True
